ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
AQ-2	AQ	rep07	1	eq10400_s3270	cons0.001	1	10
AQ-2	AQ	rep08	1	eq10400_s3270	cons0.001	1	10
AQ-2	AQ	rep09	1	eq10400_s3270	cons0.001	1	10
AQ-2	AQ	rep10	1	eq10400_s3270	cons0.001	1	10
AQ-3	AQ	rep01	1	eq10400_s3270	cons0.001	1	10
AQ-3	AQ	rep02	1	eq10400_s3270	cons0.001	1	10
AQ-3	AQ	rep03	1	eq10400_s3270	cons0.001	1	10
AQ-3	AQ	rep04	1	eq10400_s3270	cons0.001	1	10
AQ-3	AQ	rep05	1	eq10400_s3270	cons0.001	1	10
AQ-3	AQ	rep06	1	eq10400_s3270	cons0.001	1	10
AQ-3	AQ	rep07	1	eq10400_s3270	cons0.001	1	10
AQ-3	AQ	rep08	1	eq10400_s3270	cons0.001	1	10
AQ-3	AQ	rep09	1	eq10400_s3270	cons0.001	1	10
AQ-3	AQ	rep10	1	eq10400_s3270	cons0.001	1	10
AQ-4	AQ	rep01	1	eq10400_s3270	cons0.001	1	10
AQ-4	AQ	rep02	1	eq10400_s3270	cons0.001	1	10
AQ-4	AQ	rep03	1	eq10400_s3270	cons0.001	1	10
AQ-4	AQ	rep04	1	eq10400_s3270	cons0.001	1	10
AQ-4	AQ	rep05	1	eq10400_s3270	cons0.001	1	10
AQ-4	AQ	rep06	1	eq10400_s3270	cons0.001	1	10
AQ-4	AQ	rep07	1	eq10400_s3270	cons0.001	1	10
AQ-4	AQ	rep08	1	eq10400_s3270	cons0.001	1	10
AQ-4	AQ	rep09	1	eq10400_s3270	cons0.001	1	10
AQ-4	AQ	rep10	1	eq10400_s3270	cons0.001	1	10
AQ-5	AQ	rep01	1	eq10400_s3270	cons0.001	1	10
AQ-5	AQ	rep02	1	eq10400_s3270	cons0.001	1	10
AQ-5	AQ	rep03	1	eq10400_s3270	cons0.001	1	10
AQ-5	AQ	rep04	1	eq10400_s3270	cons0.001	1	10
