ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
W1-25	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-25	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-25	W1	rep06	0.0012	eq10400_s3270	single0.1	6	10
W1-25	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-25	W1	rep08	0.09969999999999998	eq10400_s3270	single0.1	6	10
W1-25	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-25	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-26	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-26	W1	rep02	9.000000000000001e-4	eq10400_s3270	single0.1	6	10
W1-26	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-26	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-26	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-26	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-26	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-26	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-26	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-26	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-27	W1	rep01	8e-4	eq10400_s3270	single0.1	6	10
W1-27	W1	rep02	0.0272	eq10400_s3270	single0.1	6	10
W1-27	W1	rep03	0.001	eq10400_s3270	single0.1	6	10
W1-27	W1	rep04	0.04349999999999999	eq10400_s3270	single0.1	6	10
W1-27	W1	rep05	0.0013	eq10400_s3270	single0.1	6	10
W1-27	W1	rep06	0.07179999999999999	eq10400_s3270	single0.1	6	10
W1-27	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-27	W1	rep08	0.06339999999999998	eq10400_s3270	single0.1	6	10
W1-27	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-27	W1	rep10	0.0601	eq10400_s3270	single0.1	6	10
W1-28	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-28	W1	rep02	1e-4	eq10400_s3270	single0.1	6	10
W1-28	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-28	W1	rep04	0.0024	eq10400_s3270	single0.1	6	10
W1-28	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-28	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-28	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-28	W1	rep08	0.1075	eq10400_s3270	single0.1	6	10
W1-28	W1	rep09	0.0498	eq10400_s3270	single0.1	6	10
W1-28	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-29	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-29	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-29	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-29	W1	rep04	2e-4	eq10400_s3270	single0.1	6	10
W1-29	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-29	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-29	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-29	W1	rep08	0.0566	eq10400_s3270	single0.1	6	10
W1-29	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-29	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-30	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-30	W1	rep02	9.000000000000001e-4	eq10400_s3270	single0.1	6	10
W1-30	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-30	W1	rep04	0.029	eq10400_s3270	single0.1	6	10
